# Rasgos activos de la red NNUE, calculados por Vigía: el sentido A del vector dorado.
# generador indices --semilla 20260911 — 100 partidas aleatorias.
# Una línea por posición: categoría|fen|rasgos vistos por las blancas|rasgos vistos por las negras
al_paso|rnbqkbnr/p1pp1ppp/1p6/4p3/5P1P/N7/PPPPP1P1/R1BQKBNR b KQkq f3 0 3|8 9 10 11 12 14 29 31 70 80 130 133 192 199 259 324 420 425 432 434 435 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 10 11 13 14 15 17 28 65 70 130 133 192 199 259 324 421 423 432 433 434 435 436 438 488 510 570 573 632 639 699 764 768 769 770 771
al_paso|5k1B/2pQ1p2/2n5/7p/7P/8/r1P1P1P1/1R2KBNR w K h6 0 17|10 12 14 31 70 133 191 193 199 307 324 423 434 437 490 584 765 769|10 13 31 82 240 325 423 434 436 438 510 519 573 633 639 651 764 771
al_paso|7B/2p2k2/2n5/8/6PP/8/2r1P3/1R2KBNR b K g3 0 20|12 30 31 70 133 191 193 199 324 434 490 586 757 769|10 82 242 333 422 423 436 510 519 573 633 639 764 771
al_paso|7B/4k3/8/2p5/5R1P/8/4K3/5BNR w - c6 0 27|31 70 133 191 199 221 332 418 756|26 332 423 510 519 573 613 639 756
al_paso|rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq b3 0 1|8 10 11 12 13 14 15 25 65 70 130 133 192 199 259 324 432 433 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 15 65 70 130 133 192 199 259 324 417 432 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/ppppppp1/8/7p/1P6/8/P1PPPPPP/RNBQKBNR w KQkq h6 0 2|8 10 11 12 13 14 15 25 65 70 130 133 192 199 259 324 423 432 433 434 435 436 437 438 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 31 65 70 130 133 192 199 259 324 417 432 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/ppppppp1/8/7p/1P1P4/8/P1P1PPPP/RNBQKBNR b KQkq d3 0 2|8 10 12 13 14 15 25 27 65 70 130 133 192 199 259 324 423 432 433 434 435 436 437 438 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 31 65 70 130 133 192 199 259 324 417 419 432 434 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|r1bqk3/pppnpp2/8/6rp/1P3P2/7P/P1P1P1P1/RN2KBNR b KQq f3 0 8|8 10 12 14 23 25 29 65 70 133 192 199 324 423 432 433 434 436 437 499 570 614 632 699 764 768 769 770|8 9 10 12 13 31 75 130 192 222 259 324 417 421 431 432 434 436 438 505 510 573 632 639 764 768 770 771
al_paso|4k3/4pp2/pn6/2r2P1p/P3P3/7P/1KP5/RN6 b - a3 0 20|10 23 24 28 37 65 192 329 423 424 436 437 489 610 764|12 13 16 31 81 218 324 413 416 420 431 434 505 632 753
al_paso|4k3/5p2/p7/4pP1p/n3P3/R6P/2K5/1N6 w - e6 0 23|23 28 37 65 208 330 420 423 424 437 472 764|13 16 28 31 96 324 413 420 431 505 616 754
al_paso|rnbqkbnr/pp1pp1pp/5p2/2p5/8/3P3N/PPP1PPPP/RNBQKB1R w KQkq c6 0 3|8 9 10 12 13 14 15 19 65 87 130 133 192 199 259 324 418 429 432 433 435 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 11 12 14 15 21 26 65 70 130 133 192 199 259 324 427 432 433 434 436 437 438 439 495 505 570 573 632 639 699 764 768 769 770 771
al_paso|rnb2bnr/4p1pp/1p4k1/6p1/4P3/2P4P/PP3P1P/RNB1KB1R b KQ e3 0 10|8 9 13 15 18 23 28 65 130 133 192 199 324 422 425 436 438 439 505 510 570 573 632 639 750 768 769|12 14 15 17 30 65 70 130 133 192 199 342 420 426 431 432 433 437 439 505 570 573 632 639 764 770 771
al_paso|5bnr/4p1p1/1pn5/1N4kp/4P3/2P5/PP3P1P/R2K1R2 w - h6 0 19|8 9 13 15 18 28 97 192 197 323 423 425 436 438 490 510 573 639 742|12 14 17 31 70 82 133 199 350 420 426 432 433 437 439 473 632 637 763
al_paso|8/5kb1/8/p4K2/2P2P1p/8/7P/6r1 b - f3 0 39|15 26 29 357 415 416 566 582 757|24 39 142 254 333 418 421 439 733
al_paso|rnbqkbnr/pppppp1p/6p1/8/1P6/P7/2PPPPPP/RNBQKBNR b KQkq b3 0 2|10 11 12 13 14 15 16 25 65 70 130 133 192 199 259 324 430 432 433 434 435 436 437 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 15 22 65 70 130 133 192 199 259 324 417 424 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/1ppppp1p/6p1/p7/1P6/P7/2PPPPPP/RNBQKBNR w KQkq a6 0 3|10 11 12 13 14 15 16 25 65 70 130 133 192 199 259 324 416 430 433 434 435 436 437 439 505 510 570 573 632 639 699 764 768 769 770 771|9 10 11 12 13 15 22 24 65 70 130 133 192 199 259 324 417 424 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|1nbk3r/1pppqp1p/4p3/5np1/5P2/2P5/3PP1P1/R1Q1KB2 b - f3 0 16|11 12 14 18 29 133 192 258 324 422 428 433 434 435 437 439 485 505 570 639 692 763|9 10 11 13 15 20 30 65 93 130 199 268 323 421 426 435 436 438 573 632 698 764
al_paso|1nb1kr2/2pp1pnQ/4p3/1p6/1P3p2/8/R2PP1P1/4KB2 w - b6 0 22|11 12 14 25 133 200 311 324 413 417 428 434 435 437 502 505 570 637 764|10 11 13 20 25 37 65 78 130 197 324 417 435 436 438 573 624 655 764
al_paso|5k2/2R5/3p4/1p2pp2/1P1n1p2/8/3PP1P1/4KB2 w - f6 0 30|11 12 14 25 133 242 324 413 417 420 421 427 475 765|19 25 28 29 37 99 325 417 435 436 438 573 586 764
al_paso|1rbqkbnr/pppp1pp1/n3p2p/8/4P2P/1P3N1R/P1PP1PP1/RNBQKB2 b Qk e3 0 5|8 10 11 13 14 17 28 31 65 85 130 133 192 215 259 324 428 431 432 433 434 435 437 438 488 510 570 573 633 639 699 764 768 771|8 9 10 11 13 14 20 23 70 80 130 133 193 199 259 324 420 423 425 432 434 435 437 438 493 505 570 573 623 632 699 764 769 770
al_paso|2bq1b1r/p1pk1p2/p2ppn2/6B1/4P1PP/5N2/P1PrQP2/RN2K2R b Q g3 0 13|8 10 13 28 30 31 65 85 166 192 199 268 324 424 427 428 432 434 437 493 570 573 587 639 699 755 768|8 10 13 16 19 20 85 130 133 199 243 259 331 420 422 423 432 434 437 493 505 542 632 639 692 764 770
al_paso|2bq3b/p1p2p2/2k2n2/8/2Pp2PB/5N2/P2K1P1R/RN6 b - c3 0 20|8 13 26 30 65 85 159 192 207 331 411 432 434 437 493 570 575 699 746|8 10 13 35 85 130 135 259 338 418 422 432 437 493 505 551 631 632 755
al_paso|4n3/3k1pb1/8/2p3B1/2P5/3p1P2/R6R/3K4 w - c6 0 33|21 26 166 200 207 323 403 418 437 508 566 755|13 26 43 68 142 331 418 429 542 624 631 763
al_paso|2k5/2n5/7R/2p2pB1/2P5/2b2P2/8/3K4 w - f6 0 38|21 26 166 239 323 418 421 498 530 762|26 29 74 170 322 418 429 542 599 763
al_paso|rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq g6 0 2|8 9 10 11 12 14 15 29 65 70 130 133 192 199 259 324 422 432 433 434 435 436 437 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 15 30 65 70 130 133 192 199 259 324 421 432 433 434 435 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/pppppp2/8/6Pp/8/2N4P/PPPPP1P1/R1BQKBNR w KQkq h6 0 5|8 9 10 11 12 14 23 38 70 82 130 133 192 199 259 324 423 432 433 434 435 436 437 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 31 65 70 130 133 192 199 259 324 414 431 432 433 434 435 436 438 490 510 570 573 632 639 699 764 768 769 770 771
al_paso|4rbnr/2p1q3/p1p2k2/7p/PP2p3/2P5/3PP2K/R1B1Q3 b - b3 0 21|11 12 18 24 25 130 192 260 335 412 423 424 426 434 510 573 636 639 692 749|10 16 18 31 36 70 133 196 199 268 341 416 417 426 435 436 570 632 700 759
al_paso|r1bqkbnr/2pppppp/1p6/p6Q/8/4PP2/n1PP2PP/RNB1KBNR w KQkq a6 0 6|10 11 14 15 20 21 65 70 130 133 192 199 295 324 416 425 434 435 436 437 438 439 456 510 570 573 632 639 699 764 768 769 770 771|10 11 12 13 14 15 17 24 70 112 130 133 192 199 259 324 428 429 434 435 438 439 505 510 570 573 632 639 671 764 768 769 770 771
al_paso|r1bq1b1r/2p1p2p/1pp2pk1/p7/2P5/4PP2/R2P2PP/1N2K1NR b K c3 0 14|11 14 15 20 21 26 65 70 199 200 324 416 425 426 429 434 436 439 570 573 632 639 699 750 769|10 12 15 17 18 21 24 130 133 192 199 259 342 418 428 429 435 438 439 505 510 624 639 764 771
al_paso|8/4bb1p/2p2p2/6k1/p2KP1P1/2R4P/8/8 b - g3 0 41|23 28 30 210 347 408 426 429 439 564 565 742|15 18 21 32 140 141 350 420 422 431 618 739
al_paso|rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq e6 0 2|8 9 10 11 12 13 15 22 65 70 130 133 192 199 259 324 420 432 433 434 435 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 13 14 15 28 65 70 130 133 192 199 259 324 430 432 433 434 435 436 437 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|r1bqkbnr/p1pp1ppp/n7/1p2p3/8/2N2NP1/PPPPPP1P/R1BQKB1R w KQkq b6 0 4|8 9 10 11 12 13 15 22 82 85 130 133 192 199 259 324 417 420 432 434 435 437 438 439 488 510 570 573 632 639 699 764 768 769 770 771|8 10 11 13 14 15 25 28 70 80 130 133 192 199 259 324 430 432 433 434 435 436 437 439 490 493 570 573 632 639 699 764 768 769 770 771
al_paso|r1bqkbnr/p2p1ppp/n1p5/1p2N3/1P6/2N3P1/P1PPPP1P/R1BQKB1R b KQkq b3 0 5|8 10 11 12 13 15 22 25 82 100 130 133 192 199 259 324 417 426 432 435 437 438 439 488 510 570 573 632 639 699 764 768 769 770 771|8 11 13 14 15 18 25 70 80 130 133 192 199 259 324 417 430 432 434 435 436 437 439 476 490 570 573 632 639 699 764 768 769 770 771
al_paso|r1b1kbnN/3p3p/2p3p1/pN6/1n6/6P1/P1PQPP1P/R1B1KB1R w KQq a6 0 10|8 10 12 13 15 22 97 127 130 133 192 199 267 324 416 426 430 435 439 473 510 570 573 632 764 768 769 770|11 15 18 22 24 70 97 130 133 192 324 430 432 434 436 437 439 455 473 570 573 632 639 691 764 768 770 771
al_paso|2b1k1n1/R6p/2p5/3p4/1b3N2/2N3P1/2PQPP1P/2B1KB1R w K d6 0 16|10 12 13 15 22 82 93 130 133 199 240 267 324 419 426 439 510 537 570 764 769|15 18 27 70 130 161 324 430 434 436 437 439 485 490 570 573 584 639 691 764 771
al_paso|8/8/4R3/8/5P1k/8/2P1K2P/3R1B2 b - f3 0 37|10 15 29 133 195 236 332 735|359 421 434 439 573 596 635 756
al_paso|r1bqk2r/pppppp1p/2n2n2/5Pb1/1P6/2P5/P2PP1PP/RNBQKB1R b KQkq b3 0 6|8 11 12 14 15 18 25 37 65 130 133 192 199 259 324 432 433 434 435 436 437 439 490 493 550 570 632 639 699 764 768 769 770 771|8 9 10 11 12 13 15 82 85 130 158 192 199 259 324 413 417 426 432 435 436 438 439 505 570 573 632 639 699 764 768 769 770 771
al_paso|r1bqkr2/pppppp1p/2n2n2/5Pb1/1P1P4/2P5/P3P1PP/RNBQKB1R b KQq d3 0 7|8 12 14 15 18 25 27 37 65 130 133 192 199 259 324 432 433 434 435 436 437 439 490 493 550 570 632 637 699 764 768 769 770|8 9 10 11 12 13 15 82 85 130 158 192 197 259 324 413 417 419 426 432 436 438 439 505 570 573 632 639 699 764 768 770 771
al_paso|r1bqk1r1/pp1ppp1p/2p2n2/5P2/PP1Q4/2P5/3KP1PP/R4B1R b q a3 0 12|12 14 15 18 24 25 37 133 192 199 283 331 426 432 433 435 436 437 439 493 570 632 638 699 764 770|8 9 11 12 13 15 18 85 130 192 198 259 324 413 416 417 426 436 438 439 573 632 639 675 755 768
al_paso|r1b1k3/p2p1p1p/2p2p2/Pp3P1r/P7/2P5/6B1/R1KR4 w q b6 0 19|18 24 32 37 142 192 195 322 417 426 429 432 435 437 439 570 615 632 764 770|8 11 13 15 18 21 25 130 192 223 324 408 413 416 426 566 632 635 762 768
al_paso|B1b2k2/5p1p/p4p2/Pp1p1P2/P7/2P4r/2K5/R3R3 w - d6 0 23|18 24 32 37 184 192 196 330 417 419 424 429 437 439 570 599 765|13 15 16 21 25 27 130 239 325 408 413 416 426 512 632 636 754
al_paso|rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq e3 0 1|8 9 10 11 13 14 15 28 65 70 130 133 192 199 259 324 432 433 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 15 65 70 130 133 192 199 259 324 420 432 433 434 435 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/ppppp1pp/5p2/8/P3P3/8/1PPP1PPP/RNBQKBNR b KQkq a3 0 2|9 10 11 13 14 15 24 28 65 70 130 133 192 199 259 324 429 432 433 434 435 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 14 15 21 65 70 130 133 192 199 259 324 416 420 433 434 435 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkb1r/ppp1p1pp/3p1p1n/P7/2P1P3/8/1P1P1PPP/RNBQKBNR b KQkq c3 0 4|9 11 13 14 15 26 28 32 65 70 130 133 192 199 259 324 427 429 432 433 434 436 438 439 495 505 570 573 632 639 699 764 768 769 770 771|8 9 10 12 14 15 19 21 65 87 130 133 192 199 259 324 408 418 420 433 435 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq c3 0 1|8 9 11 12 13 14 15 26 65 70 130 133 192 199 259 324 432 433 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 15 65 70 130 133 192 199 259 324 418 432 433 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/ppppppp1/7p/8/1PP5/8/P2PPPPP/RNBQKBNR b KQkq b3 0 2|8 11 12 13 14 15 25 26 65 70 130 133 192 199 259 324 431 432 433 434 435 436 437 438 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 23 65 70 130 133 192 199 259 324 417 418 432 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|1rbq1bnr/pppkppp1/7p/8/1nPP4/8/P3PPPP/RNB1KBNR b KQ d3 0 6|8 12 13 14 15 26 27 65 70 130 133 192 199 324 431 432 433 434 436 437 438 473 510 570 573 633 639 699 755 768 769|8 9 10 12 13 14 23 70 97 130 133 193 199 259 331 418 419 432 436 437 438 439 505 510 570 573 632 639 764 770 771
al_paso|8/2R5/3k1p1p/8/2PP1P2/7P/2K1B3/7r b - f3 0 23|23 26 27 29 140 242 330 429 431 583 747|21 23 255 339 418 419 421 431 564 586 754
al_paso|rnbqkbnr/p1ppp1pp/5p2/1p6/8/N3P3/PPPP1PPP/R1BQKBNR w KQkq b6 0 3|8 9 10 11 13 14 15 20 70 80 130 133 192 199 259 324 417 429 432 434 435 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 10 11 12 14 15 21 25 65 70 130 133 192 199 259 324 428 432 433 434 435 437 438 439 488 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/p1ppp3/5p1p/1N4p1/8/4PP2/PPPP2PP/R1BQKBNR w KQkq g6 0 5|8 9 10 11 14 15 20 21 70 97 130 133 192 199 259 324 422 429 431 432 434 435 436 505 510 570 573 632 639 699 764 768 769 770 771|8 10 11 12 21 23 30 65 70 130 133 192 199 259 324 428 429 432 433 434 435 438 439 473 510 570 573 632 639 699 764 768 769 770 771
al_paso|r1b1kbnr/3pp3/2n2p1p/pB4p1/8/4PPP1/PPPP4/R1BQK1NR w KQkq a6 0 9|8 9 10 11 20 21 22 70 130 161 192 199 259 324 416 422 429 431 435 436 490 510 570 573 632 639 764 768 769 770 771|11 12 21 23 24 30 70 82 130 133 192 199 324 428 429 430 432 433 434 435 510 537 570 632 639 699 764 768 769 770 771
al_paso|B1b1kbnr/4p3/7p/p2p1pp1/8/4PPP1/PPPP4/R1BQK1NR w KQk d6 0 11|8 9 10 11 20 21 22 70 130 184 192 199 259 324 416 419 421 422 431 436 510 570 573 639 764 768 769 771|12 23 24 27 29 30 70 130 133 199 324 428 429 430 432 433 434 435 510 512 570 632 639 699 764 769 770 771
al_paso|4kb2/4p3/4B2n/p7/2P3p1/4P1P1/PP1P4/1RBQ1KN1 b - c3 0 19|8 9 11 20 22 26 70 130 172 193 259 325 414 416 436 495 573 764|12 24 38 87 133 324 418 428 430 432 433 435 510 532 570 633 699 765
al_paso|rnbqkb1r/ppppppp1/7n/7p/1P3P2/7P/P1PPPKP1/RNBQ1BNR b kq b3 0 4|8 10 11 12 14 23 25 29 65 70 130 133 192 199 259 333 423 432 433 434 435 436 437 438 495 505 570 573 632 639 699 764 770 771|8 9 10 11 12 13 14 31 65 87 130 133 192 199 259 324 417 421 431 432 434 435 436 438 505 510 570 573 632 639 699 757 768 769
al_paso|rnbqkbr1/ppppppp1/7n/7p/1P1P1P2/7P/P1P1PKP1/RNBQ1BNR b q d3 0 5|8 10 12 14 23 25 27 29 65 70 130 133 192 199 259 333 423 432 433 434 435 436 437 438 495 505 570 573 632 638 699 764 770|8 9 10 11 12 13 14 31 65 87 130 133 192 198 259 324 417 419 421 431 432 434 436 438 505 510 570 573 632 639 699 757 768
al_paso|rnbqkbr1/p1ppp1p1/1p6/5p2/1P1P1Pp1/P7/2P1PKP1/RNB1QBNR w q f6 0 9|10 12 14 16 25 27 29 65 70 130 133 192 199 260 333 414 421 425 432 434 435 436 438 505 570 573 632 638 699 764 770|8 10 11 12 14 17 29 38 65 130 133 192 198 259 324 417 419 421 424 434 436 438 505 510 570 573 632 639 700 757 768
al_paso|rnbqkbr1/p1pp2p1/1p6/4pp2/1P1P1Pp1/P7/2PNPKP1/R1B1QBNR w q e6 0 10|10 12 14 16 25 27 29 70 75 130 133 192 199 260 333 414 420 421 425 432 434 435 438 505 570 573 632 638 699 764 770|8 10 11 14 17 28 29 38 65 130 133 192 198 259 324 417 419 421 424 434 436 438 499 510 570 573 632 639 700 757 768
al_paso|rnbq2r1/p1ppk3/1p4p1/4Pp2/1PPP2p1/5N2/4PKP1/R1B1QBNR b - c3 0 13|12 14 25 26 27 36 70 85 130 133 192 199 260 333 414 421 425 430 432 434 435 505 570 632 638 699 756|8 10 11 17 22 29 38 65 130 192 198 259 332 412 417 418 419 436 438 493 510 570 573 632 639 700 757
al_paso|rnbqkbnr/pp2p1pp/2p2p2/3p4/6P1/5N2/PPPPPP1P/RNBQKB1R w KQkq d6 0 4|8 9 10 11 12 13 15 30 65 85 130 133 192 199 259 324 419 426 429 432 433 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 12 14 15 18 21 27 65 70 130 133 192 199 259 324 422 432 433 434 435 436 437 439 493 505 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/pp2p1pp/2p2p2/3p4/2P3P1/5N2/PP1PPP1P/RNBQKB1R b KQkq c3 0 4|8 9 11 12 13 15 26 30 65 85 130 133 192 199 259 324 419 426 429 432 433 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 12 14 15 18 21 27 65 70 130 133 192 199 259 324 418 422 432 433 435 436 437 439 493 505 570 573 632 639 699 764 768 769 770 771
al_paso|rn1qkbnr/pp2p1pp/2p1bp2/8/2p3PP/2N2N2/PP1PPP2/R1BQKBR1 b Qkq h3 0 9|8 9 11 12 13 30 31 82 85 130 133 192 198 259 324 410 426 429 432 433 436 438 439 505 510 556 573 632 639 699 764 768 770 771|8 9 12 14 15 18 21 34 65 70 133 148 192 199 259 324 422 423 432 433 435 436 437 490 493 570 573 632 638 699 764 768 769 770
al_paso|rn1qkbnr/p3p1pp/2p1bp2/1p6/2p3PP/2N2N2/PP1PPP2/R1BQKBR1 w Qkq b6 0 10|8 9 11 12 13 30 31 82 85 130 133 192 198 259 324 410 417 426 429 432 436 438 439 505 510 556 573 632 639 699 764 768 770 771|8 12 14 15 18 21 25 34 65 70 133 148 192 199 259 324 422 423 432 433 435 436 437 490 493 570 573 632 638 699 764 768 769 770
al_paso|rn2k1nr/N3p1b1/2p2p2/7p/7P/1p3b2/PP1BPP2/R3KB2 w Qkq h6 0 16|8 9 12 13 31 112 133 139 192 324 401 423 426 429 436 505 510 533 566 632 639 764 768 770 771|12 18 21 31 41 65 70 142 173 192 199 324 423 432 433 436 437 456 563 573 632 764 768 769 770
al_paso|rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq g3 0 1|8 9 10 11 12 13 15 30 65 70 130 133 192 199 259 324 432 433 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 15 65 70 130 133 192 199 259 324 422 432 433 434 435 436 437 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|r1bqkbnr/p1pppp1p/6p1/1p4P1/8/P2PP2P/1P3P2/RNBQKBNR w KQkq b6 0 8|9 13 16 19 20 23 38 65 70 130 133 192 199 259 324 417 430 432 434 435 436 437 439 510 570 573 632 639 699 764 768 769 770 771|8 10 11 12 13 15 22 25 70 130 133 192 199 259 324 414 424 427 428 431 433 437 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|2bqkr2/3pp2p/6p1/1N3p2/p3P3/P2P3P/1R2KPBR/8 w - f6 0 22|13 16 19 23 28 97 142 201 207 332 408 421 430 435 436 439 570 637 699 764|11 12 15 22 29 32 130 197 259 324 420 424 427 431 437 473 566 625 631 756
al_paso|rnbqkb1r/1ppppppp/7n/p7/8/5P2/PPPPPKPP/RNBQ1BNR w kq a6 0 3|8 9 10 11 12 14 15 21 65 70 130 133 192 199 259 333 416 433 434 435 436 437 438 439 495 505 570 573 632 639 699 764 770 771|9 10 11 12 13 14 15 24 65 87 130 133 192 199 259 324 429 432 433 434 435 436 438 439 505 510 570 573 632 639 699 757 768 769
al_paso|rnbqkb1r/1ppppp1p/7n/p5p1/8/N4P2/PPPPPKPP/R1BQ1BNR w kq g6 0 4|8 9 10 11 12 14 15 21 70 80 130 133 192 199 259 333 416 422 433 434 435 436 437 439 495 505 570 573 632 639 699 764 770 771|9 10 11 12 13 15 24 30 65 87 130 133 192 199 259 324 429 432 433 434 435 436 438 439 488 510 570 573 632 639 699 757 768 769
al_paso|rnbqkb1r/1ppppp1p/7n/p5p1/7P/N4P2/PPPPPKP1/R1BQ1BNR b kq h3 0 4|8 9 10 11 12 14 21 31 70 80 130 133 192 199 259 333 416 422 433 434 435 436 437 439 495 505 570 573 632 639 699 764 770 771|9 10 11 12 13 15 24 30 65 87 130 133 192 199 259 324 423 429 432 433 434 435 436 438 488 510 570 573 632 639 699 757 768 769
